Conara SII,Nombre Comuna ,Código Tesorería
8404,QUILLECO,206
8115,QUILLON,182
5501,QUILLOTA,48
5304,QUILPUE,38
10415,QUINCHAO,275
6117,QUINTA DE TILCOCO,123
14107,QUINTA NORMAL,81
5306,QUINTERO,35
8104,QUIRIHUE,172
6101,RANCAGUA,105
8119,RANQUIL,187
7104,RAUCO,143
13159,RECOLETA,329
9104,RENAICO,219
14113,RENCA,77
6112,RENGO,121
6113,REQUINOA,119
7306,RETIRO,165
5704,RINCONADA,68
10111,RIO BUENO,253
7204,RIO CLARO,149
4206,RIO HURTADO,28
11203,RIO IBANEZ,288
10205,RIO NEGRO,259
12202,RIO VERDE,314
7103,ROMERAL,141
9210,SAAVEDRA,236
7109,SAGRADA FAMILIA,148
4302,SALAMANCA,32
5401,SAN ANTONIO,42
16401,SAN BERNARDO,98
8109,SAN CARLOS,176
7202,SAN CLEMENTE,151
5703,SAN ESTEBAN,69
8111,SAN FABIAN,178
5601,SAN FELIPE,60
6201,SAN FERNANDO,124
6104,SAN FRANCISCO DE MOSTAZAL,111
12204,SAN GREGORIO,315
8114,SAN IGNACIO,181
7310,SAN JAVIER,156
16163,SAN JOAQUIN,335
16303,SAN JOSE DE MAIPO,102
10207,SAN JUAN DE LA COSTA,307
16106,SAN MIGUEL,95
8112,SAN NICOLAS,179
10202,SAN PABLO,257
14604,SAN PEDRO,108
2303,SAN PEDRO DE ATACAMA,301
8210,SAN PEDRO DE LA PAZ,343
7210,SAN RAFAEL,341
16153,SAN RAMON,326
8411,SAN ROSENDO,211
6110,SAN VICENTE,117
8402,SANTA BARBARA,205
6205,SANTA CRUZ,128
8209,SANTA JUANA,196
5605,SANTA MARIA,64
13101,SANTIAGO,70
13134,SANTIAGO OESTE,73
13135,SANTIAGO SUR,84
5402,SANTO DOMINGO,43
2206,SIERRA GORDA,299
14501,TALAGANTE,86
7201,TALCA,150
8206,TALCAHUANO,189
2202,TALTAL,9
9201,TEMUCO,227
7102,TENO,142
9219,TEODORO SCHMIDT,306
3203,TIERRA AMARILLA,15
14203,TIL-TIL,80
12304,TIMAUKEL,318
8307,TIRUA,203
2101,TOCOPILLA,6
9213,TOLTEN,239
8205,TOME,190
12103,TORRES DEL PAINE,313
11303,TORTEL,311
9107,TRAIGUEN,222
8108,TREHUACO,173
8412,TUCAPEL,209
10101,VALDIVIA,243
3301,VALLENAR,16
5301,VALPARAISO,34
7106,VICHUQUEN,146
9109,VICTORIA,224
4105,VICUNA,23
9202,VILCUN,228
7309,VILLA ALEGRE,163
5303,VILLA ALEMANA,39
9215,VILLARRICA,241
5302,VINA DEL MAR,37
15160,VITACURA,331
7302,YERBAS BUENAS,160
8409,YUMBEL,207
8116,YUNGAY,183
5204,ZAPALLAR,58
